case,seed,scenario,method,severity,false_peak_correlation,parameters,validation_mae_ns,training_seconds,inference_ms_per_link,pf_ms_per_update,total_ms_per_update,resample_count,tof_mae_ns,tof_rmse_ns,tof_median_ae_ns,tof_p90_ae_ns,tracking_rmse_cm,tracking_mae_cm,tracking_median_cm,tracking_p90_cm,confidence_ece,confidence_brier,corruption_auroc,corruption_auprc,ablation,outlier_probability_brier,outlier_probability_auroc,outlier_probability_auprc
1,11,los,Official CIR-CNN + repository PF,1.0,0.5,143597,0.38076654076576233,3.5773196630000257,0.09422950000015362,0.1451841012653801,0.7105611012663018,79,0.42948564887046814,0.6044216752052307,0.2894480228424072,0.9962476491928101,14.621502383443177,12.207866325395251,10.013123189029852,22.04228209733085,0.12891718149185183,0.10661967042006851,,,full,,,
1,11,los,Official Variance-CNN + repository PF,1.0,0.5,143597,0.5448880791664124,3.7443133399999624,0.07122099166660216,0.1396645316450718,0.5669904816446847,79,0.4918301999568939,0.8208702206611633,0.17505931854248047,1.6431442499160767,16.84347793836017,14.141390110514099,11.953335137513681,25.635442480082162,0.0024426619211832534,0.14972818911067495,,,full,,,
1,11,los,Official CIR-CNN + stabilized equal PF,1.0,0.5,143597,0.38076654076576233,3.5773196630000257,0.09422950000015362,0.24155467500008854,0.8069316750010103,80,0.42948564887046814,0.6044216752052307,0.2894480228424072,0.9962476491928101,11.378430610740319,9.286562404510533,7.426818162967708,19.301396976057905,0.12891718149185183,0.10661967042006851,,,full,,,
1,11,los,Official Variance-CNN + stabilized equal PF,1.0,0.5,143597,0.5448880791664124,3.7443133399999624,0.07122099166660216,0.19942684999989524,0.6267527999995082,80,0.4918301999568939,0.8208702206611633,0.17505931854248047,1.6431442499160767,12.349484025317224,10.2699764977935,9.139247077261317,19.50513382139451,0.0024426619211832534,0.14972818911067495,,,full,,,
1,11,los,U-Fuse + equal PF,1.0,0.5,320177,0.5857090950012207,17.837095305000048,0.22739862291653407,0.1455070124990243,1.5098987499982286,80,0.3516831696033478,0.520453155040741,0.21468234062194824,0.9123514890670776,8.890812192987948,7.3459464172980855,6.418608305743696,13.319887999821676,0.22788350662837428,0.12518672015614168,,,full,0.024121819682140132,,
1,11,los,U-FusePF proposed,1.0,0.5,320177,0.5857090950012207,17.837095305000048,0.22739862291653407,0.22509763749951617,1.5894893749987205,80,0.3516831696033478,0.520453155040741,0.21468234062194824,0.9123514890670776,6.1364002563882725,5.311038479769327,4.769425394508628,9.16189524367243,0.22788350662837428,0.12518672015614168,,,full,0.024121819682140132,,
1,11,nlos1,Official CIR-CNN + repository PF,1.0,0.5,143597,0.38076654076576233,3.5773196630000257,0.06947647083327031,0.14550179746982372,0.5623606224694456,79,2.034451723098755,4.798447132110596,0.3820529878139496,7.857359886169434,18.122655379540443,15.157580318554963,14.522026854025171,26.74816508966607,0.010666151841481564,0.1822969239743332,0.5,0.16666666666666666,full,,,
1,11,nlos1,Official Variance-CNN + repository PF,1.0,0.5,143597,0.5448880791664124,3.7443133399999624,0.07091749374978917,0.14846981012633018,0.5739747726250652,79,2.490297794342041,5.781846046447754,0.2793275713920593,10.582744598388672,16.150174240990342,13.919090322783894,12.222825213159066,25.79295830441939,0.14547400474548344,0.24268610621483971,0.5,0.16666666666666666,full,,,
1,11,nlos1,Official CIR-CNN + stabilized equal PF,1.0,0.5,143597,0.38076654076576233,3.5773196630000257,0.06947647083327031,0.15233379999983754,0.5691926249994594,80,2.034451723098755,4.798447132110596,0.3820529878139496,7.857359886169434,13.256870165363416,11.283513420155304,10.044549652073062,20.625597650168885,0.010666151841481564,0.1822969239743332,0.5,0.16666666666666666,full,,,
1,11,nlos1,Official Variance-CNN + stabilized equal PF,1.0,0.5,143597,0.5448880791664124,3.7443133399999624,0.07091749374978917,0.14844469999957255,0.5739496624983076,80,2.490297794342041,5.781846046447754,0.2793275713920593,10.582744598388672,12.405713670376022,10.612678708930815,9.326028727393453,20.830519086849257,0.14547400474548344,0.24268610621483971,0.5,0.16666666666666666,full,,,
